	Cmb_Num	Cmb_ID	CC_A	CC_B	Cmb_Rare	Res	Res_Rare	BA_0O	BA_1O	BA_2O	BD_0O	BD_1O	BD_2O
	259,027	22,035	Chinchilla	Fairy	2	Flying Squirrel	3	11	14	16	5	8	10
	259,028	22,036	Chinchilla	Fairy Tale	3	Wiz's Apprentice	2	8	13	15	3	8	10
	259,029	22,038	Chinchilla	Fish	3	Shark Rider	4	16	16	19	9	9	12
	259,03	22,039	Chinchilla	Food	3	Gremlin	3	9	12	14	6	9	11
	259,031	22,04	Chinchilla	Future Fight	3	Chin Trooper	4	13	13	16	8	8	11
	259,032	22,041	Chinchilla	Galaxy Wars	3	Chin Trooper	4	13	13	16	8	8	11
	259,033	22,042	Chinchilla	Giant	3	Chinzilla	3	9	12	14	9	12	14
	259,034	22,043	Chinchilla	Golem	2	Stuffed Plushie	3	8	11	13	10	13	15
	259,035	22,044	Chinchilla	Halloween	3	Chinzombie	3	10	13	15	8	11	13
	259,036	22,045	Chinchilla	Hammer	2	Cat and Mouse	3	15	18	20	5	8	10
	259,037	22,046	Chinchilla	Healing	3	Care Chilla	2	5	10	12	9	14	16
	259,038	22,047	Chinchilla	Holidays	3	Chudolph the Braindeer	4	15	15	18	10	10	13
	259,039	22,048	Chinchilla	Holy Water	2	Chinchilla Knight	3	8	11	13	9	12	14
	259,04	22,049	Chinchilla	Hopefulness	3	Chin Trooper	4	13	13	16	8	8	11
	259,041	22,05	Chinchilla	Horn	3	Chinchillalope	3	13	16	18	7	10	12
	259,042	22,053	Chinchilla	Hybrid	3	Chinchillalope	3	13	16	18	7	10	12
	259,043	22,054	Chinchilla	Ice	3	Ice Age	4	13	13	16	10	10	13
	259,044	22,055	Chinchilla	Immortality	3	Vampchilla	3	9	12	14	5	8	10
	259,045	22,057	Chinchilla	Invention	3	Bionic Chinchilla	3	6	9	11	10	13	15
	259,046	22,058	Chinchilla	Knight	2	Chinchilla Knight	3	8	11	13	9	12	14
	259,047	22,059	Chinchilla	Knowledge	2	Wiz's Apprentice	2	8	13	15	3	8	10
	259,048	22,06	Chinchilla	Leader	3	Candy King Chin	4	15	15	18	9	9	12
	259,049	22,061	Chinchilla	Life	3	Care Chilla	2	5	10	12	9	14	16
	259,05	22,062	Chinchilla	Love	3	Care Chilla	2	5	10	12	9	14	16
	259,051	22,063	Chinchilla	Madness	3	Genius and Insane	3	14	17	19	5	8	10
	259,052	22,064	Chinchilla	Magic	2	Wiz's Apprentice	2	8	13	15	3	8	10
	259,053	22,065	Chinchilla	Martial Arts	3	Ninchilla	3	11	14	16	6	9	11
	259,054	22,066	Chinchilla	Medieval	3	Chinchilla Knight	3	8	11	13	9	12	14
	259,055	22,067	Chinchilla	Metal	2	Bionic Chinchilla	3	6	9	11	10	13	15
	259,056	22,068	Chinchilla	Mind Control	3	Cute Charm	3	13	16	18	7	10	12
	259,057	22,069	Chinchilla	Miniature	3	Pikamon	4	15	15	18	8	8	11
	259,058	22,07	Chinchilla	Monkey	3	Koala	4	12	12	15	9	9	12
	259,059	22,071	Chinchilla	Monster	3	Chinzilla	3	9	12	14	9	12	14
	259,06	22,072	Chinchilla	Moon	3	Ninchilla	3	11	14	16	6	9	11
	259,061	22,073	Chinchilla	Multiples	3	Chin Trooper	4	13	13	16	8	8	11
	259,062	22,074	Chinchilla	Music	3	Mozart Chin	4	13	13	16	11	11	14
	259,063	22,075	Chinchilla	Mutation	3	Chinzilla	3	9	12	14	9	12	14
	259,064	22,076	Chinchilla	Myth	3	Gremlin	3	9	12	14	6	9	11
	259,065	22,077	Chinchilla	New Years	3	Mecha Chinzilla	4	19	19	22	6	6	9
	259,066	22,078	Chinchilla	Parasite	3	Vampchilla	3	9	12	14	5	8	10
	259,067	22,079	Chinchilla	Pirate	3	Larcenous Pets	4	17	17	20	5	5	8
	259,068	22,08	Chinchilla	Plant	3	Pet Plant	4	7	7	10	16	16	19
	259,069	22,081	Chinchilla	Pocket Pet	3	Bone Chin	4	14	14	17	11	11	14
	259,07	22,083	Chinchilla	Portal	3	Rabbit Hole	3	9	12	14	9	12	14
	259,071	22,084	Chinchilla	Precious Ring Lore	3	Forest Chinchillas	4	12	12	15	12	12	15
	259,072	22,085	Chinchilla	Prehistoric	2	Saberchilla	3	13	16	18	7	10	12
	259,073	22,086	Chinchilla	Psychic	3	Animal Whisperer	3	0	3	5	15	18	20
	259,074	22,087	Chinchilla	Radiation	2	Chinzilla	3	9	12	14	9	12	14
	259,075	22,088	Chinchilla	Rainbow	2	Care Chilla	2	5	10	12	9	14	16
	259,076	22,089	Chinchilla	Relic	3	Bone Chin	4	14	14	17	11	11	14
	259,077	22,09	Chinchilla	Reptile	3	Gremlin	3	9	12	14	6	9	11
	259,078	22,091	Chinchilla	Robot	3	Bionic Chinchilla	3	6	9	11	10	13	15
	259,079	22,094	Chinchilla	Royalty	3	Candy King Chin	4	15	15	18	9	9	12
	259,08	22,095	Chinchilla	Sci-Fi	3	Chin Trooper	4	13	13	16	8	8	11
	259,081	22,096	Chinchilla	Science	3	Bionic Chinchilla	3	6	9	11	10	13	15
	259,082	22,097	Chinchilla	Shrine	3	Evomon	4	15	15	18	7	7	10
	259,083	22,098	Chinchilla	Sidekick	3	Wiz's Apprentice	2	8	13	15	3	8	10
	259,084	22,101	Chinchilla	Space	3	Aviator Chin	3	9	12	14	7	10	12
	259,085	22,102	Chinchilla	Speed	3	Swift the Chin	3	13	16	18	5	8	10
	259,086	22,103	Chinchilla	Spirit	3	Rat Reaper	4	15	15	18	9	9	12
	259,087	22,104	Chinchilla	Sports	3	Solar Slam	4	17	17	20	7	7	10
	259,088	22,105	Chinchilla	Spy	3	The Mole	3	2	5	7	16	19	21
	259,089	22,106	Chinchilla	Strength	3	Bionic Chinchilla	3	6	9	11	10	13	15
	259,09	22,107	Chinchilla	Summertide	3	The Great Outdoors	4	16	16	19	10	10	13
	259,091	22,108	Chinchilla	Sun	2	Dust Bath	3	4	7	9	10	13	15
	259,092	22,109	Chinchilla	Superhero	2	Wonderful Chin	3	10	13	15	10	13	15
	259,093	22,11	Chinchilla	Sweets	3	Candy King Chin	4	15	15	18	9	9	12
	259,094	22,111	Chinchilla	Sword	2	Ninchilla	3	11	14	16	6	9	11
	259,095	22,112	Chinchilla	The Chosen One	3	Wiz's Apprentice	2	8	13	15	3	8	10
	259,096	22,113	Chinchilla	Time	3	Chinzombie	3	10	13	15	8	11	13
	259,097	22,114	Chinchilla	Toy	3	Stuffed Plushie	3	8	11	13	10	13	15
	259,098	22,115	Chinchilla	Tree	2	Flying Squirrel	3	11	14	16	5	8	10
	259,099	22,116	Chinchilla	Trident	2	Chinchillalope	3	13	16	18	7	10	12
	259,1	22,117	Chinchilla	Turkey Day	3	Pilgrim Chin	4	12	12	15	10	10	13
	259,101	22,118	Chinchilla	Turtle	3	Sensei Rat	4	16	16	19	7	7	10
	259,102	22,119	Chinchilla	Undead	2	Chinzombie	3	10	13	15	8	11	13
	259,103	22,12	Chinchilla	Underground	3	Dust Bath	3	4	7	9	10	13	15
	259,104	22,121	Chinchilla	Underwater	3	Chin Cousteau	4	5	5	8	16	16	19
	259,105	22,122	Chinchilla	Vampire	2	Vampchilla	3	9	12	14	5	8	10
	259,106	22,123	Chinchilla	Vehicle	3	Shark Rider	4	16	16	19	9	9	12
	259,107	22,124	Chinchilla	Viking	3	Mascot Brawl	4	18	18	21	3	3	6
	259,108	22,125	Chinchilla	Villain	3	Gremlin	3	9	12	14	6	9	11
	259,109	22,126	Chinchilla	Void	2	Ninchilla	3	11	14	16	6	9	11
	259,11	22,127	Chinchilla	War	3	Chinchilla Knight	3	8	11	13	9	12	14
	259,111	22,128	Chinchilla	Water	2	Gremlin	3	9	12	14	6	9	11
	259,112	22,129	Chinchilla	Water Serpent	2	Beaver	3	5	8	10	10	13	15
	259,113	22,13	Chinchilla	Wealth	3	Candy King Chin	4	15	15	18	9	9	12
	259,114	22,131	Chinchilla	Weapon	3	Bionic Chinchilla	3	6	9	11	10	13	15
	259,115	22,133	Chinchilla	Jungle	3	Forest Chinchillas	4	12	12	15	12	12	15
	259,116	22,134	Chinchilla	Wind	3	Aviator Chin	3	9	12	14	7	10	12
	259,117	22,135	Chinchilla	Wings	2	Aviator Chin	3	9	12	14	7	10	12
	259,118	22,136	Chinchilla	Wintertide	3	Chudolph the Braindeer	4	15	15	18	10	10	13
	259,119	22,137	Chinchilla	Wizard	2	Wiz's Apprentice	2	8	13	15	3	8	10
	259,12	22,138	Chinchilla	Wizarding School	3	Transmutation	3	14	17	19	4	7	9
	320,023	23,024	Cursed	Darkness	3	Mothman	4	13	13	16	10	10	13
	320,024	23,025	Cursed	Death	3	Egyptian Tomb	3	15	18	20	2	5	7
	320,025	23,026	Cursed	Demon	3	Demon Hero	4	14	14	17	10	10	13
	320,026	23,027	Cursed	Desert	3	Egyptian Tomb	3	15	18	20	2	5	7
	320,027	23,028	Cursed	Destruction	3	Precious Ring	3	15	18	20	2	5	7
	320,028	23,029	Cursed	Dog	3	Scylla	4	15	15	18	8	8	11
	320,029	23,03	Cursed	Dragon	3	Dragon Princess	4	7	7	10	14	14	17
	320,03	23,031	Cursed	Earth	3	Egyptian Tomb	3	15	18	20	2	5	7
	320,031	23,032	Cursed	Elf	3	Banshee Empress	4	18	18	21	5	5	8
	320,032	23,033	Cursed	Energy	3	Vengeful Spirit	3	13	16	18	7	10	12
	320,033	23,034	Cursed	Extraterrestrial	3	Great Wereape	4	12	12	15	10	10	13
	320,034	23,035	Cursed	Fairy	3	Midsummer Dream	3	16	19	21	3	6	8
	320,035	23,036	Cursed	Fairy Tale	3	Cursed Apple	3	13	16	18	4	7	9
	320,036	23,037	Cursed	Fire	3	The Cursed Chosen	4	17	17	20	7	7	10
	320,037	23,038	Cursed	Fish	3	Cursed Garden	4	16	16	19	7	7	10
	320,038	23,039	Cursed	Food	3	Cursed Apple	3	13	16	18	4	7	9
	320,039	23,04	Cursed	Future Fight	3	The Cursed Chosen	4	17	17	20	7	7	10
	320,04	23,041	Cursed	Galaxy Wars	3	Dark Space Lord	4	16	16	19	9	9	12
	320,041	23,042	Cursed	Giant	3	Atlas	3	3	6	8	13	16	18
	320,042	23,043	Cursed	Golem	3	Ogre Princess	3	10	13	15	5	8	10
	320,043	23,044	Cursed	Halloween	3	Headless Rider	2	7	12	14	5	10	12
	320,044	23,045	Cursed	Hammer	3	WMD	4	14	14	17	8	8	11
	320,045	23,046	Cursed	Healing	3	Unicorn Blood	4	16	16	19	8	8	11
	320,046	23,047	Cursed	Holidays	3	Nutcracker	3	14	17	19	6	9	11
	320,047	23,049	Cursed	Hopefulness	3	Ogre Princess	3	10	13	15	5	8	10
	320,048	23,05	Cursed	Horn	3	Demon Hero	4	14	14	17	10	10	13
	320,049	23,051	Cursed	Horse	3	Cursed Aztec Prince	3	3	6	8	13	16	18
	320,05	23,052	Cursed	Human	3	Voodoo Doll	3	12	15	17	3	6	8
	320,051	23,053	Cursed	Hybrid	3	Demon Hero	4	14	14	17	10	10	13
	320,052	23,054	Cursed	Ice	3	Lich Blade	4	15	15	18	7	7	10
	320,053	23,055	Cursed	Immortality	3	Davy Jones	4	13	13	16	10	10	13
	320,054	23,056	Cursed	Insect	3	Arachne	4	16	16	19	6	6	9
	320,055	23,057	Cursed	Invention	3	Belphegor	4	14	14	17	8	8	11
	320,056	23,058	Cursed	Knight	3	The Cursed Chosen	4	17	17	20	7	7	10
	320,057	23,059	Cursed	Knowledge	3	Cursed Apple	3	13	16	18	4	7	9
	320,058	23,06	Cursed	Leader	3	Banshee Empress	4	18	18	21	5	5	8
	320,059	23,061	Cursed	Life	3	Pandora's Box	4	14	14	17	10	10	13
	320,06	23,062	Cursed	Love	3	Cold Hearted	3	7	10	12	10	13	15
	320,061	23,063	Cursed	Madness	3	Crazy Eyed Wizard	4	7	7	10	14	14	17
	320,062	23,064	Cursed	Magic	3	Cursed Monkey Paw	3	15	18	20	4	7	9
	320,063	23,065	Cursed	Martial Arts	3	Ninja Sorcerer	4	18	18	21	7	7	10
	320,064	23,066	Cursed	Medieval	3	Ogre Princess	3	10	13	15	5	8	10
	320,065	23,067	Cursed	Metal	3	Lich Blade	4	15	15	18	7	7	10
	320,066	23,068	Cursed	Mind Control	3	Cursed Will	4	16	16	19	7	7	10
	320,067	23,069	Cursed	Miniature	3	Precious Ring	3	15	18	20	2	5	7
	320,068	23,07	Cursed	Monkey	3	Cursed Monkey Paw	3	15	18	20	4	7	9
	320,069	23,071	Cursed	Monster	3	Monster & Beauty	3	8	11	13	8	11	13
	320,07	23,072	Cursed	Moon	3	Werewolf	1	3	10	12	2	9	11
	320,071	23,073	Cursed	Multiples	3	Vampire Coven	3	16	19	21	3	6	8
	320,072	23,074	Cursed	Music	3	Cursed Flute	4	14	14	17	8	8	11
	320,073	23,075	Cursed	Mutation	3	Frog Prince	3	12	15	17	6	9	11
	320,074	23,076	Cursed	Myth	3	Prometheus	4	9	9	12	12	12	15
	320,075	23,077	Cursed	New Years	3	Broken Resolutions	4	11	11	14	13	13	16
	320,076	23,078	Cursed	Parasite	3	Lich Blade	4	15	15	18	7	7	10
	320,077	23,079	Cursed	Pirate	3	Big Mojo	4	20	20	23	4	4	7
	320,078	23,08	Cursed	Plant	3	Cursed Garden	4	16	16	19	7	7	10
	320,079	23,081	Cursed	Pocket Pet	3	Bone Chin	4	14	14	17	11	11	14
	320,08	23,082	Cursed	Poison	3	Cursed Apple	3	13	16	18	4	7	9
	320,081	23,083	Cursed	Portal	3	Mirror Lake	4	15	15	18	9	9	12
	320,082	23,084	Cursed	Precious Ring Lore	3	Precious Ring	3	15	18	20	2	5	7
	320,083	23,085	Cursed	Prehistoric	3	Dino Park	4	14	14	17	10	10	13
	320,084	23,086	Cursed	Psychic	3	Lich Blade	4	15	15	18	7	7	10
	320,085	23,087	Cursed	Radiation	3	Nuclear Wintertide	4	14	14	17	10	10	13
	320,086	23,088	Cursed	Rainbow	3	Unicorn Blood	4	16	16	19	8	8	11
	320,087	23,089	Cursed	Relic	3	Cursed Monkey Paw	3	15	18	20	4	7	9
	320,088	23,09	Cursed	Reptile	3	Dragon Princess	4	7	7	10	14	14	17
	320,089	23,091	Cursed	Robot	3	Computer Bug	4	18	18	21	4	4	7
	320,09	23,092	Cursed	Rodent	3	Vampchilla	3	9	12	14	5	8	10
	320,091	23,093	Cursed	Royal Game	3	Ice Zombie King	4	14	14	17	7	7	10
	320,092	23,094	Cursed	Royalty	3	Frog Prince	3	12	15	17	6	9	11
	320,093	23,095	Cursed	Sci-Fi	3	Dr. Jekyll	3	12	15	17	7	10	12
	320,094	23,096	Cursed	Science	3	Dr. Jekyll	3	12	15	17	7	10	12
	320,095	23,097	Cursed	Shrine	3	Doom Temple	3	15	18	20	4	7	9
	320,096	23,099	Cursed	Sleep	3	Sleeping Princess	3	4	7	9	11	14	16
	320,097	23,1	Cursed	Snake	3	Medusa	2	7	12	14	4	9	11
	320,098	23,101	Cursed	Space	3	Great Wereape	4	12	12	15	10	10	13
	320,099	23,102	Cursed	Speed	3	Vengeful Spirit	3	13	16	18	7	10	12
	320,1	23,103	Cursed	Spirit	3	Vengeful Spirit	3	13	16	18	7	10	12
	320,101	23,104	Cursed	Sports	3	Reverse Card	4	22	22	25	0	0	3
	320,102	23,105	Cursed	Spy	3	Impossible Mission	4	17	17	20	9	9	12
	320,103	23,106	Cursed	Strength	3	Demon Hero	4	14	14	17	10	10	13
	320,104	23,107	Cursed	Summertide	3	Midsummer Dream	3	16	19	21	3	6	8
	320,105	23,108	Cursed	Sun	3	The Cursed Chosen	4	17	17	20	7	7	10
	320,106	23,109	Cursed	Superhero	3	Demon Hero	4	14	14	17	10	10	13
	320,107	23,11	Cursed	Sweets	3	Sugar Demon	4	18	18	21	7	7	10
	320,108	23,111	Cursed	Sword	3	Lich Blade	4	15	15	18	7	7	10
	320,109	23,112	Cursed	The Chosen One	3	Dragonkin Ninja	4	14	14	17	9	9	12
	320,11	23,113	Cursed	Time	3	Groundhog	3	12	15	17	5	8	10
	320,111	23,114	Cursed	Toy	3	Voodoo Doll	3	12	15	17	3	6	8
	320,112	23,115	Cursed	Tree	3	Cursed Flute	4	14	14	17	8	8	11
	320,113	23,116	Cursed	Trident	3	Sea Witch	4	14	14	17	10	10	13
	320,114	23,117	Cursed	Turkey Day	3	Carver of Doom	4	17	17	20	6	6	9
	320,115	23,118	Cursed	Turtle	3	Kappa	4	14	14	17	11	11	14
	320,116	23,119	Cursed	Undead	3	Banshee Empress	4	18	18	21	5	5	8
	320,117	23,12	Cursed	Underground	3	Egyptian Tomb	3	15	18	20	2	5	7
	320,118	23,121	Cursed	Underwater	3	Davy Jones	4	13	13	16	10	10	13
	320,119	23,122	Cursed	Vampire	3	Skeletal Vampire	3	15	18	20	3	6	8
	320,12	23,123	Cursed	Vehicle	3	Demonic Bike	4	17	17	20	6	6	9
	320,121	23,124	Cursed	Viking	3	Draugr Jarl	3	17	20	22	3	6	8
	320,122	23,125	Cursed	Villain	3	Ninja Sorcerer	4	18	18	21	7	7	10
	320,123	23,126	Cursed	Void	3	Pandora's Box	4	14	14	17	10	10	13
	320,124	23,127	Cursed	War	3	Ghost Army	4	17	17	20	6	6	9
	320,125	23,128	Cursed	Water	3	Frog Prince	3	12	15	17	6	9	11
	320,126	23,129	Cursed	Water Serpent	3	Dragon Princess	4	7	7	10	14	14	17
	320,127	23,13	Cursed	Wealth	3	Pirate Booty	4	10	10	13	11	11	14
	320,128	23,131	Cursed	Weapon	3	Lich Blade	4	15	15	18	7	7	10
	320,129	23,132	Cursed	Werewolf	3	Young Wolf	4	10	10	13	12	12	15
	320,13	23,133	Cursed	Jungle	3	Cursed Garden	4	16	16	19	7	7	10
	320,131	23,134	Cursed	Wind	3	Cursed Flute	4	14	14	17	8	8	11
	320,132	23,135	Cursed	Wings	3	Blood Angel	4	15	15	18	9	9	12
	320,133	23,136	Cursed	Wintertide	3	Christmas Spirits	4	16	16	19	8	8	11
	320,134	23,137	Cursed	Wizard	3	Ninja Sorcerer	4	18	18	21	7	7	10
	320,135	23,138	Cursed	Wizarding School	3	Cursed Will	4	16	16	19	7	7	10
	320,136	23,139	Cursed	Wolf	3	Werewolf	1	3	10	12	2	9	11
	349,023	24,025	Darkness	Death	3	Black Death	4	16	16	19	6	6	9
	349,024	24,026	Darkness	Demon	3	Eyed Feet Man	4	15	15	18	9	9	12
	349,025	24,027	Darkness	Desert	3	Evil Vizier	3	12	15	17	4	7	9
	349,026	24,028	Darkness	Destruction	3	Puzzle Cube Head	4	17	17	20	8	8	11
	349,027	24,029	Darkness	Dog	3	Anubis	4	15	15	18	10	10	13
	349,028	24,03	Darkness	Dragon	3	Night Dragon	3	13	16	18	6	9	11
	349,029	24,031	Darkness	Earth	3	Doomsday Omen	3	13	16	18	7	10	12
	349,03	24,032	Darkness	Elf	3	Dark Elf	4	14	14	17	10	10	13
	349,031	24,033	Darkness	Energy	3	Strange Communicator	3	1	4	6	14	17	19
	349,032	24,034	Darkness	Extraterrestrial	3	Mothman	4	13	13	16	10	10	13
	349,033	24,035	Darkness	Fairy	3	Dark Hero	3	11	14	16	6	9	11
	349,034	24,036	Darkness	Fairy Tale	3	The Dadabook	3	10	13	15	8	11	13
	349,035	24,037	Darkness	Fire	3	Chilling Brina	3	9	12	14	8	11	13
	349,036	24,038	Darkness	Fish	3	Sea Witch	4	14	14	17	10	10	13
	349,037	24,039	Darkness	Food	3	Eye Eater	4	12	12	15	10	10	13
	349,038	24,04	Darkness	Future Fight	3	Infernal Warlord	4	20	20	23	4	4	7
	349,039	24,041	Darkness	Galaxy Wars	3	Dark Apprentice	4	12	12	15	11	11	14
	349,04	24,042	Darkness	Giant	3	Fungi King	4	16	16	19	7	7	10
	349,041	24,043	Darkness	Golem	3	Fungi King	4	16	16	19	7	7	10
	349,042	24,044	Darkness	Halloween	3	Sinister Gourdling	4	14	14	17	10	10	13
	349,043	24,045	Darkness	Hammer	3	Void Hammer	3	19	22	24	1	4	6
	349,044	24,046	Darkness	Healing	3	Unicorn Blood	4	16	16	19	8	8	11
	349,045	24,047	Darkness	Holidays	3	Strange Communicator	3	1	4	6	14	17	19
	349,046	24,048	Darkness	Holy Water	3	Ash	1	0	7	9	1	8	10
	349,047	24,049	Darkness	Hopefulness	3	Escape Tunnel	3	12	15	17	5	8	10
	349,048	24,05	Darkness	Horn	3	Galactic Wizard	4	12	12	15	11	11	14
	349,049	24,051	Darkness	Horse	3	Pestilence's Horse	3	8	11	13	6	9	11
	349,05	24,052	Darkness	Human	3	Viral Dance	4	5	5	8	16	16	19
	349,051	24,053	Darkness	Hybrid	3	Fungi King	4	16	16	19	7	7	10
	349,052	24,054	Darkness	Ice	3	Frost Dragon	4	15	15	18	10	10	13
	349,053	24,055	Darkness	Immortality	3	Ring Lord	4	18	18	21	6	6	9
	349,054	24,056	Darkness	Insect	3	Mothman	4	13	13	16	10	10	13
	349,055	24,057	Darkness	Invention	3	Strange Communicator	3	1	4	6	14	17	19
	349,056	24,058	Darkness	Knight	3	Puzzle Cube Head	4	17	17	20	8	8	11
	349,057	24,059	Darkness	Knowledge	3	Wi-Fi Psychic	4	18	18	21	6	6	9
	349,058	24,06	Darkness	Leader	3	Wi-Fi Psychic	4	18	18	21	6	6	9
	349,059	24,061	Darkness	Life	3	Devil's Boy	3	14	17	19	6	9	11
	349,06	24,062	Darkness	Love	3	Wi-Fi Psychic	4	18	18	21	6	6	9
	349,061	24,063	Darkness	Madness	3	Eyed Feet Man	4	15	15	18	9	9	12
	349,062	24,064	Darkness	Magic	3	Chilling Brina	3	9	12	14	8	11	13
	349,063	24,065	Darkness	Martial Arts	3	Spectre Ninja	4	14	14	17	10	10	13
	349,064	24,066	Darkness	Medieval	3	Black Death	4	16	16	19	6	6	9
	349,065	24,067	Darkness	Metal	3	Robot Devil	3	11	14	16	7	10	12
	349,066	24,068	Darkness	Mind Control	3	Wi-Fi Psychic	4	18	18	21	6	6	9
	349,067	24,069	Darkness	Miniature	3	Protozoan Villain	3	17	20	22	1	4	6
	349,068	24,07	Darkness	Monkey	3	Great Wereape	4	12	12	15	10	10	13
	349,069	24,071	Darkness	Monster	3	Eyed Feet Man	4	15	15	18	9	9	12
	349,07	24,072	Darkness	Moon	3	Bogeyman	4	18	18	21	5	5	8
	349,071	24,073	Darkness	Multiples	3	Villain Groupies	4	12	12	15	12	12	15
	349,072	24,074	Darkness	Music	3	Viral Dance	4	5	5	8	16	16	19
	349,073	24,075	Darkness	Mutation	3	Fungi King	4	16	16	19	7	7	10
	349,074	24,076	Darkness	Myth	3	Mothman	4	13	13	16	10	10	13
	349,075	24,077	Darkness	New Years	3	Red Letter Day	4	20	20	23	4	4	7
	349,076	24,078	Darkness	Parasite	3	Fungi King	4	16	16	19	7	7	10
	349,077	24,079	Darkness	Pirate	3	Vampirate	3	8	11	13	8	11	13
	349,078	24,08	Darkness	Plant	3	Fungi King	4	16	16	19	7	7	10
	349,079	24,081	Darkness	Pocket Pet	3	Astro Gang	4	16	16	19	5	5	8
	349,08	24,082	Darkness	Poison	3	Poison Cloud	3	16	19	21	0	3	5
	349,081	24,083	Darkness	Portal	3	Cryptic Corridors	3	10	13	15	8	11	13
	349,082	24,084	Darkness	Precious Ring Lore	3	Goblin Hybrid	3	12	15	17	5	8	10
	349,083	24,086	Darkness	Psychic	3	Wi-Fi Psychic	4	18	18	21	6	6	9
	349,084	24,089	Darkness	Relic	3	Haunted Doll	3	15	18	20	1	4	6
	349,085	24,09	Darkness	Reptile	3	Death Adder Shadow	3	10	13	15	7	10	12
	349,086	24,091	Darkness	Robot	3	Alphatron	4	13	13	16	11	11	14
	349,087	24,092	Darkness	Rodent	3	Rat Reaper	4	15	15	18	9	9	12
	349,088	24,093	Darkness	Royal Game	3	Ice Zombie King	4	14	14	17	7	7	10
	349,089	24,094	Darkness	Royalty	3	Fungi King	4	16	16	19	7	7	10
	349,09	24,095	Darkness	Sci-Fi	3	Dark Space Lord	4	16	16	19	9	9	12
	349,091	24,096	Darkness	Science	3	Strange Communicator	3	1	4	6	14	17	19
	349,092	24,097	Darkness	Shrine	3	Doom Temple	3	15	18	20	4	7	9
	349,093	24,098	Darkness	Sidekick	3	Water Dragon	4	13	13	16	11	11	14
	349,094	24,099	Darkness	Sleep	3	Eye Eater	4	12	12	15	10	10	13
	349,095	24,1	Darkness	Snake	3	Serpent Cultist	3	11	14	16	5	8	10
	349,096	24,101	Darkness	Space	3	Mothman	4	13	13	16	10	10	13
	349,097	24,102	Darkness	Speed	3	Speed Demon	4	18	18	21	6	6	9
	349,098	24,103	Darkness	Spirit	3	Spectral Rider	3	14	17	19	5	8	10
	349,099	24,104	Darkness	Sports	3	The Umpire	3	15	18	20	0	3	5
	349,1	24,105	Darkness	Spy	3	Ghostly Recon	3	10	13	15	7	10	12
	349,101	24,106	Darkness	Strength	3	Puzzle Cube Head	4	17	17	20	8	8	11
	349,102	24,107	Darkness	Summertide	3	Nightmarish Swarms	3	14	17	19	5	8	10
	349,103	24,108	Darkness	Sun	3	Sunwalker Vampire	3	11	14	16	5	8	10
	349,104	24,109	Darkness	Superhero	3	Wi-Fi Psychic	4	18	18	21	6	6	9
	349,105	24,11	Darkness	Sweets	3	Eye Eater	4	12	12	15	10	10	13
	349,106	24,111	Darkness	Sword	3	Bone Sword	3	11	14	16	5	8	10
	349,107	24,112	Darkness	The Chosen One	3	Wi-Fi Psychic	4	18	18	21	6	6	9
	349,108	24,113	Darkness	Time	3	Cthulhu	3	7	10	12	10	13	15
	349,109	24,114	Darkness	Toy	3	Haunted Doll	3	15	18	20	1	4	6
	349,11	24,115	Darkness	Tree	3	Spooky Tree	4	12	12	15	10	10	13
	349,111	24,116	Darkness	Trident	3	Treacherous Wizard	4	18	18	21	5	5	8
	349,112	24,117	Darkness	Turkey Day	3	Carver of Doom	4	17	17	20	6	6	9
	349,113	24,119	Darkness	Undead	3	Undead Knight	3	10	13	15	7	10	12
	349,114	24,12	Darkness	Underground	3	Tarrasque	4	16	16	19	9	9	12
	349,115	24,121	Darkness	Underwater	3	Wi-Fi Psychic	4	18	18	21	6	6	9
	349,116	24,122	Darkness	Vampire	3	Vampire Boogie Man	4	13	13	16	10	10	13
	349,117	24,123	Darkness	Vehicle	3	Devil's Boy	3	14	17	19	6	9	11
	349,118	24,124	Darkness	Viking	3	Draugr Jarl	3	17	20	22	3	6	8
	349,119	24,125	Darkness	Villain	3	Killer Clown	3	13	16	18	6	9	11
	349,12	24,126	Darkness	Void	3	Eyed Feet Man	4	15	15	18	9	9	12
	349,121	24,127	Darkness	War	3	Ghost Army	4	17	17	20	6	6	9
	349,122	24,128	Darkness	Water	3	Wi-Fi Psychic	4	18	18	21	6	6	9
	349,123	24,13	Darkness	Wealth	3	Goblin Banker	3	13	16	18	4	7	9
	349,124	24,131	Darkness	Weapon	3	Pandora's Box	4	14	14	17	10	10	13
	349,125	24,132	Darkness	Werewolf	3	Big Bad Wolf	4	16	16	19	9	9	12
	349,126	24,133	Darkness	Jungle	3	Maneaters	4	19	19	22	5	5	8
	349,127	24,134	Darkness	Wind	3	Sandstorm	4	15	15	18	6	6	9
	349,128	24,135	Darkness	Wings	3	Mothman	4	13	13	16	10	10	13
	349,129	24,136	Darkness	Wintertide	3	Krampus	4	23	23	26	3	3	6
	349,13	24,137	Darkness	Wizard	3	Chilling Brina	3	9	12	14	8	11	13
	349,131	24,138	Darkness	Wizarding School	3	Chilling Brina	3	9	12	14	8	11	13
	349,132	24,139	Darkness	Wolf	3	Werewolf	1	3	10	12	2	9	11
	351,023	25,027	Death	Desert	3	Vulture	1	5	12	14	2	9	11
	351,024	25,028	Death	Destruction	3	Soul Harvester	3	12	15	17	6	9	11
